第1列,单词,释义
怀疑,skeptical,"adj. (=sceptical) 怀疑的, 心存疑惑的, 将信将疑的 (be skeptical of the government's claims of pollutioni control)"
怀疑,sceptic,"n. 惯持怀疑态度的人, 怀疑论者。adj = sceptical (a sceptic towards modern tech)。也可拼作skeptic"
怀疑,scepticism,n. 怀疑态度，怀疑主义
怀疑,suspect,v.猜想，认为；怀疑..有罪，认为..有嫌疑；不信任。n.嫌疑犯，可疑分子
怀疑,suspicious,adj.感觉可疑的，怀疑的；不信任的，持怀疑态度的；令人怀疑的，引起怀疑的
详细的，全面的,elaborate,adj. 复杂的；详尽的；精致的 v. 详细说明；精心制作 (电脑系统）
详细的，全面的,rigorous,"adj. 谨慎的，细致的；严格的，严厉的 (a rigorous study of ..)
This is a rigorous process that goes through FDA approval 这是一个严格的过程，需要FDA的审批。"
详细的，全面的,thorough,"adj. 彻底的，完全的；仔细的；缜密的 (a thorough investigation)
through 通过
throughout 遍及，到处。throughout the world 世界各地。"
详细的，全面的,thoroughness,n.彻底，完全。General assessment helps reach flawless precision and thoroughness.
"检查, 研究，探究",scrutiny,"n.仔细检查，认真审查，监视监督。credit scrutiny 信用检查。
scr- 表示撕、抓，如scrape, scratch等。"
"检查, 研究，探究",scrutinize,v.仔细检查，认真审核。= analyze.
"检查, 研究，探究",survey,n.v. 调查，考察，研究。=inquiry = inspection
"检查, 研究，探究",ascertain,v.查明，弄清。=determine （有下决心，查明，确定的意思）。I ascertain that he was murdered.
"检查, 研究，探究",delve,n.穴，洞。v.钻石，探究，挖。We delve into the history of different things.
,discern,v.看出，觉察出；了解，认识
重要的，崇高的,imparative,"adj.极重要的，必要的；命令的，强制的，祈使的。n.重要紧急的事；祈使语气。
imparative mood 祈使语气，命令式。imparative sentense 祈使句。imparative programming 命令式编程。
The most important political imparative is to limit the number of U.S. casualties 当务之急是控制美国的伤亡人数。"
重要的，崇高的,noble,崇高的，高贵的。a noble reason to learn english. Nobel 诺贝尔
重要的，崇高的,supreme,adj.至高的，最重要的。
重要的，崇高的,supremacy,n.至高无上，最大权力，最高权威，最高地位。
重要的，崇高的,paramount,n.最高统治者。adj.至为重要的，首要的；至高无上的
重要的，崇高的,primacy,第一位，首位，首因。the primacy effect 第一印象。
重要的，崇高的,principal,adj.最重要的，首要的，本金的。n.校长，负责 人，主角，首席；本金；当事人，委托人；主犯。principal eyes 主眼
巨大的,enormous,"指体积、数量或程度远远超过一般标准。adj. 巨大的，庞大的 (enoumous load of the plane, enormous cost)"
巨大的,huge,含义广，强调体积或容积的庞大。也可用于引申意义。
巨大的,immense,巨大的，广阔的。正式用词，侧重空间的广阔，也指面积或分量的巨大。
巨大的,giant,非正式用词，多为褒义。指如巨人般的庞大体积。
巨大的,gigantic,指面积或体积的巨大，但多用于引申意义。
巨大的,colossal,侧重尺寸、规模和体积的无比巨大。
巨大的,vast,多指空间、面积、范围的巨大，不涉及重量。
巨大的,massive,指大的体积、数量和重量，侧重庞大而笨重。
巨大的,tremendous,指某物很大，大得惊人；也可用作引申意义。
巨大的,magnitude,n.巨大，重要性；震级；规模，大小；数量，数值。
巨大的,considerable,"adj. 相当大的,可观的,重要的"
巨大的,spacious,"adj. 广阔的, 宽敞的（如 酒店房间）"
巨大的,mighty,adj.强而有力的；巨大的；非凡的(high and mighty 趾高气扬)
巨大的,utmost,"adj.极度的，巨大的。n.极度，极限。This is a matter of the utmost importance 极其重要的问题。
I would like to express to you our utmost respect 致以最崇高的敬意。"
情绪，心情,delight,高兴
情绪，心情,gruntled,"adj. 高兴的，满意的。v.咕哝
gruntle v.嘀咕，咕哝；（使）高兴，满意
disgruntled adj. 不满的，不高兴的。Maybe a disgruntled employee is looking to do malicious things."
情绪，心情,envy,"v. 羡慕, 忌妒, 庆幸 n. 羡慕, 忌妒 (She has always envied my success.)"
情绪，心情,jealous,"adj. 吃醋的, 妒忌的, 妒羡的, 嫉妒的 (be jealous of 嫉妒)"
情绪，心情,generous,adj. 慷慨的；大方的
情绪，心情,furious,狂怒的
情绪，心情,harsh,"adj. 严厉的, 残酷的; 恶劣的, 艰苦的；刺眼的, 丑陋的; 刺耳的, 难听的; 粗糙的, 刺激性强的。the harsh aspects of Sharia.伊斯兰教法的残酷性。the harsh environment of the Antarctica."
情绪，心情,irritable,adj.易怒的，暴曝的。irritate 激怒。The user is irritated.
情绪，心情,irritability,n.过敏性，易怒性，兴奋性
情绪，心情,inflame,"v.激怒，使燃烧，使发炎。
flame n.火焰，强烈的感情"
情绪，心情,mourn,哀悼
情绪，心情,distress,n.忧虑，悲伤，危难，剧痛。v.使忧虑，使悲伤。
情绪，心情,sorrow,n.悲伤，悲哀，悲痛，不幸（程度比sadness更强，sadness一般指内心的失落）
情绪，心情,grief,n.(尤指由于某人去世引起的)悲伤，悲痛（程度比sorrow更强）。麻烦，烦恼。
情绪，心情,grieve,"v.伤心，使悲伤，使伤心。n.监工。grieve over/about sth 为..而悲伤。She was grieving the love of her life
grave 墓地。"
情绪，心情,weep,v.哭泣
情绪，心情,weeping,adj.落泪的，哭泣的。He feels like weeping
情绪，心情,satisfying,adj.令人满足的，令人满意的
情绪，心情,gratify,v.使高兴，使满足；满足（愿望等）
情绪，心情,gratifying,adj.悦人的，令人满足的，心满意足的。v.使满意，使高兴，纵情于，沉湎于
情绪，心情,gratification,n.满足，令人喜悦的事物。delaying gratification 延迟满足。
情绪，心情,gratitude,"n. 感激之情, 感谢 (in gratitude to 对..心存感激 = be grateful) I'm grateful to you for being here."
情绪，心情,pathetic,adj.令人怜悯的，可怜的；无用的，差劲的。
情绪，心情,pity,n.v.同情，怜悯
情绪，心情,dismissive,adj.轻蔑的，鄙视的，不加考虑的
,indignation,n.愤愤不平，义愤
,deject,v.使沮丧，使灰心。adj.沮丧的，灰心的。
,dejected,adj.沮丧的，灰心的
,dishearten,vt. 使灰心，使沮丧，使气馁
,disheartened,adj. 沮丧的；灰心的
,grim,adj.严肃的，坚定的；令人不快的，令人沮丧的，阴森的，凄凉的。The outlook is grim 前景堪忧。I feel grim 我感觉不舒服。
吓人的,scary,adj. 恐怖的，吓人的。scary movie 恐怖电影。The scariest part 最吓人的是。。
吓人的,scare,n.v. 惊吓，惊恐，恐慌。scare sb into doing sth 吓的某人做某事。
吓人的,scared,adj.害怕，恐怖，担心，畏惧。be scared = be frightened. I am too scared to tell her what happened. He was horribly scared now.
吓人的,sacred,adj. 神圣的，受尊重的。
吓人的,scar,n.伤痕，创伤. v.伤害，结疤。
吓人的,scarce,adj. 缺乏的，不足的，稀少的，罕见的。
吓人的,frightening,adj.令人恐惧的。
吓人的,terrifying,adj.可怕的
吓人的,horrifying,adj.令人震惊的
吓人的,chilling,adj.令人寒心的
吓人的,creepy,adj. 令人毛骨悚然的
吓人的,forbidding,v.禁止，妨碍。adj.（外表）冷峻的，令人生畏的，令人厌恶的，险恶的。
吓人的,dread,n.v.畏惧，担心。令人生畏的人或事物。adj.令人生畏的，可怕的；恼火的，生气的。I dread being sick 我害怕生病。
吓人的,dreaded,adj.令人畏惧的，可怕的。dreaded reputation 可怕的声誉。
吓人的,startle,"n.惊愕，惊恐。v.惊吓，惊跳，惊奇，吓一跳。You startled me when you shouted 你叫喊的时候，吓了我一跳。
You scared the crap out of me. You scared me half of death. You startled me. You really frightened me."
吓人的,scary,"含义是“引起惊慌的;吓人的”。注意与scared 的区别。scared 常指“胆小的人或动物受到突然刺激所产生的剧烈恐惧”
The black tower is a scary place .那黑塔是吓人的地方。Don’t be so scared ;we are quite safe .不要担惊受怕，我们很安全."
吓人的,dreadful,"和afraid用来描述事物，a dreadful story，He is afraid of his own shadow. scared可以用来描述人的心里恐惧。侧重不同。 从用法上： dreadful直接修饰名词做定语； afraid加of,that从句，或afraid sb do sth. scared主要用sb be scared to do,指某人害怕做某事。"
可怕的，害怕,horrible,可怕的，糟糕的，讨厌的。horrible boss.
可怕的，害怕,horrific,"可怕的，令人毛骨悚然的。a horrific storm, the horrific war in Gaza."
可怕的，害怕,terrible,可怕的。
可怕的，害怕,terrific,可怕的，极好的，绝妙的。a terrific amount of money.
可怕的，害怕,fearsome,adj.可怕的，害怕的；极大的。Nuclear bomb is a fearsome weapon.
可怕的，害怕,afraid,指由于胆小或怯懦而不敢说或做某事。be afraid to do sth. We are not afraid to make mistakes.
可怕的，害怕,fearful,普通用词，既指外界情况变化而引起的恐惧，又指来自内心的害怕与焦虑。
可怕的，害怕,awful,指威严得令人害怕或敬畏，有一定的感情色彩。
可怕的，害怕,dreadful,"指使人非常恐惧，毛骨悚然，也使人感到讨厌而退缩。
dread n.v. 畏惧，害怕。in dread of 在恐惧之中。she dreaded to going piano lessons。The dread of making mistakes. The question that he always dreaded."
可怕的，害怕,frightful,指使人陷入短暂的惊恐或产生毛骨悚然的感觉。
可怕的，害怕,terrible,侧重指给人以长久的惊骇，极端的恐怖，令人难以忍受。
可怕的，害怕,horrible,指因骇人听闻的丑恶而令人毛骨悚然，着重厌恶的成分多于害怕。
可怕的，害怕,terrific,多指外表、形状或力量等的可怕。
可怕的，害怕,appalling,指既令害怕又使人惊异、胆寒。
可怕的，害怕,dire,"adj.极其严重的，可怕的，恐怖的，极端的。Gaza is currently facing dire food, water and medicine shortage.
dire straits 水深火热。
strait n.海峡；窘境。= channel, gullet

这些名词均含“恐惧、惧怕、惊恐”之意。"
可怕的，害怕,alarm,强调突然意识到有危险而产生的恐惧心理。
可怕的，害怕,fear,普通用词，侧重指面临危险或灾祸时内心所引起的恐惧心情。
可怕的，害怕,fright,通常指一阵突然的、令人震惊的短暂恐惧，有时含夸张意味。
可怕的，害怕,horror,侧重指因看到令人讨厌或危险的东西或情景而引起的厌恶情绪、极度恐惧心情或颤栗的动作。
可怕的，害怕,panic,"常指因突如其来的外界威胁使人群出现惊慌、恐惧或混乱。
panicked v.使恐慌。Every customer will be initially panicked."
可怕的，害怕,terror,指极大的恐惧和惊骇，语气最强。The son of Hamas made a decision to leave the life of terror behind.
可怕的，害怕,dread,"可与fear换用，着重害怕的心理，但dread常指胆怯和丧失勇气。Many people dreads small talk. 很多人害怕闲聊。

注意：我怕冷，不能说 i am afraid of cold，因为afraid 一般是害怕恐怖的东西。要说 i don't like cold 或 i hate cold weather."
,tremble,v.（因害怕、紧张、兴奋等）颤抖，哆嗦；颤动，轻轻摇晃；害怕，紧张；（声音）颤抖 n.颤抖，战栗
,daunt,v.使胆怯，使气馁；威吓 = terrify
危险，风险,hazard,n.危险，危害。v.冒..的风险，使处于危险。occupational hazard 职业风险
危险，风险,precarious,"adj.摇摇欲坠的，不稳固的；(局势)不确定的，危险的。
The ladder looks very precarious 那梯子看起来摇摇晃晃的。
He earned a precarious living as an artist 作为一个艺术家，他过着朝不保夕的生活。"
,dicey,"adj. 前途未卜的, 冒险的, 危险的 (a dicey future)"
,dicier,更前途未卜的
,dice,骰子，掷骰子。
,gamble,v.赌博；冒险，投机  n.冒险，赌博
,vicious,"危险的，会造成伤害的，严厉的，恶毒的，剧烈的。It is a deliberate, nasty and vicious attack on a young man. 蓄意下流的恶毒攻击。
vicious cycle 恶性循环。"
示例,epitomize,v. 成为…的典范（或典型）(he epitomizes the experienced mountain walker)
示例,epitome,"n. 摘要, 缩影, 化身；典型, 典范 (be a epitome of 典型)"
示例,exemplify,v. 例证，例示 (This painting exemplifies the artist's early style)
示例,example,n.
示例,excerpt,n.摘录，节选
"永远, 连续的",eternal,adj. 不朽的，永恒的；无休止的。语体较庄重，侧重指永远存在，无始无终。eternal love and devotion 永恒的爱与奉献。
"永远, 连续的",permanent,adj. 永久的. 指总是处于相同的情况和地位，可长期持续下去，永久不变。
"永远, 连续的",perpetual,adj. 永恒的，永久的；终身的；持续的，不间断的；一再往复的（perpetual complaints)
"永远, 连续的",successive,adj. 连续的；接连的；相继的 （he won the gave for the second successive year 连赢两年)
"永远, 连续的",succession,n.连续不断的人（物），继任，继承，继承权；交替，更迭；
"永远, 连续的",perpetual,语气最强，指保持永久不变，没有中断的行为，永无止境地持续下去。有时用于贬义，指令人厌烦之事
"永远, 连续的",continuous,连续不断的（雨）
tinct,extinct,adj. （动植物，语言）灭绝的；（习俗，工作等）消失的
tinct,extinction,n. （植物、动物、生活方式等的）灭绝，绝种，消亡
tinct,extinguish,v.熄灭，使扑灭
tinct,instinct,n. 本能，天性；直觉 (human bings have a natural instinct for survival) intuition 直觉
tinct,distinct,"adj. 清晰的，明显的；截然不同的 (Those two ideas are quite distinct from each other.)
district"
了不起的,marvelous,令人惊叹的，了不起的 (如假期，语气较强，突出难以相信）
了不起的,fabulous,"adj. 巨大的；极好的，极妙的； （美貌）惊人的； 寓言般的； 难以置信的 (my fabulous holiday)
He also came from Southern money and was fabulously wealthy (恋恋）"
了不起的,spectacular,"adj. 壮观的, 壮丽的, 令人惊叹的 n. 壮观的场面, 精彩的表演 (a spectacular firework display) spectacular cruelty(那个以色列视频）"
了不起的,striking,adj. 引人注目的；惊人的；显著的；妩媚动人的；打击的；罢工的 (striking gossip 惊天八卦)
了不起的,splendid,adj.辉煌的，灿烂的，极好的，杰出的。 splendid culture 光辉灿烂的文化。
了不起的,unparalleled,"adj.无与伦比的，无双的；前所未有的，从未经历过的，独特的.
Unparalleled In The World  天下无双
unique unmatched unparalleled 独一无二的 ; 绝无仅有的 ; 唯一无二的"
了不起的,seasational,"adj.轰动的，激动人心的；夸张的，耸人听闻的；<非正式>非常好的，吸引人的。（恋恋中形容Allie)
seasation n.感觉，知觉；感觉能力，知觉能力"
杰出的，优秀的,preeminent,adj.优秀的。
杰出的，优秀的,eminent,adj.显赫的，非凡的，杰出的。The eminent athlete.
杰出的，优秀的,prominent,adj.杰出的，显著的，突出的。= outstanding
杰出的，优秀的,dominent,adj.支配的，统治的。
杰出的，优秀的,phenomenal,adj.非凡的，杰出的；感觉得到的，可感知的。phenomenal world 现象界，表象世界。
很好的,superb,adj.极佳的，质量极高的；超凡的，壮丽的，辉煌的。a superb meal 一桌好菜，a superb evening 一个美好的夜晚，
很好的,The car is in superb condition,车况很好。
迷人的,fantastic,是非常好的意思，用在对话多过文章。
迷人的,fantasy,n. 幻想
迷人的,fantasize,v.幻想，想象
迷人的,fascinate,"vt. 迷住, 摄住, 使呆住，使着迷。"
迷人的,fascinating,"adj. 迷人的。可以用来形容电影、书、人物等。如 the play is fascinating。she is a fascinating speaker。He has a fascinating personality, everyone wants to be around him."
迷人的,fascination,n.魔力、魅力
迷人的,obsessive,adj 着迷的. n.强迫症患者。
迷人的,obsessively,adv.着迷的，着魔似的；过度的。obsessively brood on our feelings 对我们的感觉过度焦虑。
迷人的,obsess,v.迷住 be obsessed with..。
迷人的,obsession,n.痴迷 his opsession with alcohol。
迷人的,stunning,adj.极有魅力的，绝妙的，给人深刻印象的。The red blood seems so stunning with this fashionable green head band.
迷人的,stunt,n.特技表演；噱头，作秀；逞英雄。The police pulled me over for stunting on the highway (比如故意急刹车、甩尾、漂移等）
迷人的,captivating,adj 有魅力的，迷人的，有吸引力的。
迷人的,captivate,"v.迷住，使着迷
captive n.俘虏 adj 被俘的
captivity n.监禁，关押"
迷人的,appealing,adj.吸引人的，有感染力的。v.呼吁，恳求，上诉。appealing look
迷人的,compelling,adj.令人信服的，有说服力的；引人入胜的，扣人心弦的。
有趣的,intriguing,"adj.非常有趣的, 引人入胜的, 神秘的 (The character has a really intriguing personality)"
有趣的,intrigue,v.激起……的兴趣，引发……的好奇心；密谋 n.密谋策划，阴谋；秘密的恋情，秘密关系；You've intrigued me 有点意思。
有趣的,intrigued,adj.好奇的，着迷的，感兴趣的。We are intrigued and inspired by this book。
快乐的,blissful,adj.极乐的，幸福的，无忧无虑的。I had a blissful stay in Suzhou 在苏州有过快乐的停留。
快乐的,bliss,n.极乐，天堂，乐园，天赐之福。
快乐的,joyful,adj.愉快的，高兴的
快乐的,cheerful,adj.高兴的，快乐的
快乐的,delightful,adj.令人愉快的，可喜的
密谋，策划，阴谋,intrigue,n.阴谋，密谋。v.密谋，引起..的兴趣，秘密策划。intrigue with sb 与某人串通。intrigue one's interest. and intriguing idea.
密谋，策划，阴谋,conspiracy,n.阴谋，密谋。
密谋，策划，阴谋,plot,n.阴谋，情节，图，小块土地。v.密谋，图谋，计划，制订。expose a plot 揭露一个阴谋。main plot 主要情节。plot against 暗算，阴谋策划。
密谋，策划，阴谋,conspiracy,[kən'spirəsi] 在指政治阴谋上用得较多，比较正式的一个词，另外它也多指那些多人共同谋划的阴谋。
密谋，策划，阴谋,intrigue,比较具有巧妙性，也就是比较有水平的那种，可以说是阴谋，当然翻译成诡计也许更贴切。
沉迷，痴迷,indulge,"v.沉迷于，纵情于，放任，迁就。Young people indulge themselves in surfing on the internet and neglect their studies.
Be obsessed with playing computer games."
沉迷，痴迷,absorbed,极感兴趣的，全神贯注的，被吸收的。Too much absorbed in one's hobby and neglecting work are not good.
沉迷，痴迷,be fascinated with..,痴迷于
沉迷，痴迷,fascinaiton,n.入迷，着迷，魅力，令人着迷的事物。My fascination with science started from the middle school.
沉迷，痴迷,be addicted to,沉迷于，上瘾。I am addicted to PC games.
沉迷，痴迷,preoccupation,"n.使人全神贯注的事物，使人长时间担忧的事物；全神贯注，入神。preoccupation with 全神贯注于。
His preoccupation with his work left him little time for his family. （他对工作的全神贯注让他几乎没有时间陪伴家人。）
Her preoccupation with social media affects her productivity. （她对社交媒体的过度关注影响了她的工作效率。）
Environmental issues are a major preoccupation for many people today. （环境问题是当今许多人关心的主要问题。）
The preoccupation of the meeting was how to increase sales. （会议的重点是如何增加销售。）"
沉迷，痴迷,fixate,"v. (通常是指过度的)痴迷于，专注于，心理学上的""固着""，近义 obsess。Stop fixating on the number 别再痴迷于数字。
Why does everyone keep fixating on that? 为什么你们总是提起那件事呢？(friends S0101)
He tends to fixate on minor details and forgets the bigger picture. （他总是对小细节过度关注，而忽略了大局。）
She seems to fixate on her past mistakes instead of moving forward. （她似乎总是执着于过去的错误，而不愿前进。）
The media often fixates on celebrities’ personal lives. （媒体经常过度关注名人的私生活。）"
设施,facility,"n.设备,设施;工具 (public facility 公共设施)"
设施,facilitate,"v. 促进；助长；使便利，使容易；帮助 (facilitate your thinking.打开思路)。
What is it that limits and facilitates neuroplasticity? 是什么限制和促进了神经可塑性？"
娱乐，休闲,recreation,n. 消遣，娱乐; 重现；重建. 一般与运动健身打球有关 (recreational activities/facilities 娱乐活动/设施). a way of recreation.
娱乐，休闲,amusement,n. 娱乐，消遣活动；愉悦，可笑. 一般是用来打发时间的事物 (amusement park 游乐园)
娱乐，休闲,amuse,"逗乐
abuse 谩骂"
娱乐，休闲,entertainment,一般是公共场所的演出
娱乐，休闲,diversion,n. 转向，转移；偏离；绕行路线；消遣，娱乐。注意除了转移，也有娱乐的意思
娱乐，休闲,leisure,n.闲暇，空闲。adj. 空闲的，业余的。leisure activities.
娱乐，休闲,stroll,n.v.散步，闲逛。
娱乐，休闲,hilarious,adj 可笑的，滑稽的 = very funny
命运,fatal,adj. 致命的；灾难性的；毁灭性的，导致失败的
命运,fate,"n. 命运, 天意, 命中注定的事
fateful adj.重大的；决定性的；宿命的"
命运,fete,n. 露天游乐会，义卖游乐会，庆祝活动 v. 盛宴款待，热情招待，表彰 (hold a fete to raise money)
命运,destiny,普通用词，侧重预先注定的命运，对未来命运的美好憧憬。
命运,fate,较庄严用词，多指不幸的命运，暗示不可避免，令人畏惧和人的意志无法改变，宿命论色彩较浓。
命运,lot,多指偶然的运气或终身遭受的不幸命运。
命运,doom,指最终的，常常是灾难性或毁灭性的命运，隐含不可避免的意味。be doomed to bad health 逃脱不了健康不佳的命运
命运,fortune,普通用词，指由机会或运气来决定的一种命运，如暗示一种比fate好的运气或一种愉快的未来。
成功 / 失败,triumph,n.v.巨大成功，重大胜利，欣喜，喜悦。Arch of Triumph 凯旋门。triumph over grief 战胜悲伤。triumph of the will 意志的胜利。
"易变的，波动的，
变化的",fickle,"adj. 易变的, 无常的, 反复无常的（时尚行业）"
"易变的，波动的，
变化的",fluctuate,"v.波动；起伏不定(价格等）(My weight fluctuated wildly depending on how much I ate)
reluctant 不情愿的
fluent 流利的, fluid 流体, fluctuate 波动, affluence 富裕的"
"易变的，波动的，
变化的",fluctuating,adj.波动的，变动的。v.波动，起伏不定。 fluctuating frequency 振荡频率
"易变的，波动的，
变化的",reluctant,adj. 不情愿的，勉强的（承认错误等）
,friction,n.摩擦，摩擦力；分歧，争执
,fraction,"n. 一部分，小部分；碎片；些微，一点儿；分数；小数 (a fraction of 一小部分) (to a fraction [口]地地道道地, 百分之百地)
miniscule fraction 微小的一部分，指几乎可以忽略的小部分。
That is just a very miniscule side effect compared to the rest
infraction 违法，犯规"
,fracture,n. 骨折，断裂；破裂 v. （使）断裂，折断，破裂 (the company was fractured into small groups)
,fray,"n.磨损，磨松；紧张，烦躁。v.争论，打架；磨损处。
Our social fabric is fraying and the bonds or community that hold us together are fractured. 我们的社会结构正在磨损，社区纽带已经破裂。"
,fabricate,v.制造，生产；捏造，编造；组装，装配。
,faction,n.派系，宗派；派系之争，内讧。
,fiction,n.小说；谎言；虚构，编造。
猛烈的，残暴的,furious,"adj. 狂怒的，暴怒的；激烈的，猛烈的 (be furious with himself, be furious at sth)"
猛烈的，残暴的,fiery,"adj. 火一般的, 火的, 暴躁的, 易怒的 (leaves would turn fiery red in autumn)。a fiery car crash"
猛烈的，残暴的,fractious,"adj. 暴躁的, 易怒的, 动辄烦躁的, 捣乱的 (people will get fractious because of..) 容易变成碎片的，就是易怒的。"
猛烈的，残暴的,brutal,"残暴的, 兽性的, 直截了当的, 冷酷的 （brutal attack/ winter)"
猛烈的，残暴的,brutality,n.
,fierce,adj. 猛烈的；激烈的；凶猛的，凶恶的；〔感情〕强烈的，愤怒的；〔冷、热或天气情况〕极度的，极端的（fierce dog 恶狗）。fierce competition.
,drastic,"adj.激烈的，猛烈的，急剧的。a drastic debeat 激烈的辩论。drastic revision 重大修改。drastic measure 极端措施。
同义词：extreme severe intense rough violent fierce toug
dramatic 戏剧性的。"
愤怒,outrage,n.v.愤怒，激怒。暴行。our outrage should be directed at hamas.
愤怒,outrageous,adj.骇人的，无法容忍的；反常的，令人惊讶的；极其夸张的，不可能的。The price is outrageous.
愤怒,enrage,vt.激怒
愤怒,enraged,adj.暴怒的。v.使发怒，触怒。
愤怒,rage,n.v.愤怒，狂暴，风靡一时。rage at sth 对什么恼怒。be all the rage 非常流行。
愤怒,fury,n.狂怒，狂暴。
愤怒,indignant,adj.愤怒的
愤怒,indignation,n.愤怒。
愤怒,indignity,n.侮辱，轻蔑。
愤怒,indignation,正式用语，由于非正义，受辱等引起的“义愤”或“愤怒”the atrocity caused widespread indignation
愤怒,fury,狂怒，狂暴。in his fury he broke his eyeglasses
愤怒,wrath,正式用语，之一种“强烈的义愤”一般用于诗歌中。by their sin they provoked the wrath of the people。She would fell the full wrath of her husband.
脏的，臭的,foul,adj. 肮脏恶臭的；很令人不快的；很坏的 v. 对（对手）犯规；弄脏；（被）缠住 adv. 碰撞地；争执不和地；犯规地
脏的，臭的,His boss has a foul temper. foul  soul,邪恶的灵魂
脏的，臭的,stale,"adj. 不新鲜的; (空气)污浊的; 陈腐的, 过时的; 没有新意的。(A foul smell of stale bread filled the whole room. 过期面包的恶臭充满了整个房间)"
脏的，臭的,sour,adj.酸的，馊的，关系恶化的。China need not worry about its northern border until relations with Russia sour.
脏的，臭的,stink,n.恶臭，难闻的气味。v.散发出恶臭；名声臭。This party stinks = sucks
,nasty,"adj. 极差的；令人厌恶的，令人不悦的；恶毒的。下流的，肮脏的 n. 〈口〉恐怖电影, 讨厌的人[事物] (People around her can never stand her nasty temper.)。nasty headache 顽固的头疼。"
,dirty,普通用词，泛指被玷污或弄脏。
,foul,指由于腐烂、恶臭等造成的不干净，令人恶心。
,nasty,主要指特别讲究清洁的人感到讨厌的东西。
,neat,adj.整齐的，整洁的，巧妙的，简洁的
,tidy,adj.整洁的，有条理的。tidy-up 收拾。tidy the room 收拾房间。
,perishable,adj.（食物）易腐烂的，易变质的；（抽象事物）易消亡的，短暂的  n.易腐败的东西（尤指食物）
污点,blot,n.污点，墨迹。
污点,stain,n.污点，瑕疵，着色。
污点,smudge,n.污点，渍痕，浓烟。
污点,smear,"n.污点，污渍，抹黑。v.诽谤，弄脏。smear paint on the door. smear competition 恶性竞争。
Lies and smears have been repeated across media channels without scrutiny or fact checking.
You should smear the cream evenly to get the best effect 你应该把乳霜均匀地涂抹开，以获得最佳效果。
Smears or blurs on the windshield can be dangerous while driving 挡风玻璃上的脏污会影响驾驶。"
污点,swear,n.v.发誓。
糟糕的,crappy,adj.糟糕的，蹩脚的，没价值的
糟糕的,lousy,"adj.极坏的，极不适的；大量的，多的；多虱的。I thought you were a lousy cook 我记得你是个很差的厨师（Mike 说 Susan)
louse n.虱子，寄生虫，卑鄙的家伙。vt.搞糟，清除虱子。"
诽谤，贬低，丢脸，败坏名声,vilify,v.诽谤，中伤；轻视，贬低
诽谤，贬低，丢脸，败坏名声,vilification,n.
诽谤，贬低，丢脸，败坏名声,discredit,败坏..的名声。
诽谤，贬低，丢脸，败坏名声,demean,"v.贬低，贬损，使降低身份，失去尊严。=degrade, disgrace。demean oneself to do sth / by doing sth."
诽谤，贬低，丢脸，败坏名声,disgrace,n.耻辱，丢脸，不光彩。v.使丢脸，使蒙羞，使名誉扫地。be disgraced 名誉扫地。
诽谤，贬低，丢脸，败坏名声,demonize,妖魔化
诽谤，贬低，丢脸，败坏名声,stigma,"n.耻辱，污名。social stigmas, such as slut-shaming, are preventing some girls from forming free and healthy relationships 类似荡妇羞辱的社会污名化"
诽谤，贬低，丢脸，败坏名声,dishonorable,"adj.不名誉的；无耻的. And my intentions are completely dishonorable.

这些动词均含“使丢脸、使受耻辱”之意。"
诽谤，贬低，丢脸，败坏名声,disgrace,侧重在别人，尤其在众人面前丢脸。
诽谤，贬低，丢脸，败坏名声,humiliate,强调受辱者自尊心的损坏。
诽谤，贬低，丢脸，败坏名声,shame,指由不光彩或不道德的行为引起的惭愧感或羞耻感。
诽谤，贬低，丢脸，败坏名声,dishonour,有时可与disgrace换用，但前者是指因失去荣誉所致。
拆穿，揭露,debunk,批判，拆穿，揭穿真相。=disclose = unveil = expose。be debunked 真相大白。
拆穿，揭露,bunk,双层床，为..提供铺位。I slept on the top bunk in my dormitory. bunk over 过夜。Don't talk bunk 别胡说。
拆穿，揭露,bunker,沙坑，煤仓，掩体。nuclear bunker 核掩体。
拆穿，揭露,compartment,隔间，卧车上的小客房。
拆穿，揭露,reveal,"v.显示，表明，揭露，透露，展示。
veil 面纱"
拆穿，揭露,revelation,n.披露，揭露，被暴光的真相。there is some shocking revelations reading about this 一些令人震惊的启示。
拆穿，揭露,lay bare,揭露。
拆穿，揭露,denounce,v.遣责，指责，抨击，告发。Son of Hamas leader breaks silence on decision to denounce terror group.
流行的,prevail,v.流行，盛行，占上风，胜出，成功，奏效。prevail over 战胜。prevail on/upon 说服。
流行的,prevailing,"流行的
epidemic 传染病，流行的"
流行的,prevalent,"adj 流行的，盛行的，普遍的。 prevalent opinion 舆论。近义 popular, widespread, universal, fashionable, going"
压制，使窒息,stifle,v.扼杀，抑制，压制，使窒息。=keep in = hold back。we should not stifling children's new ideas. Your government will try to stifle your voice and deter you from coming out.
压制，使窒息,stifling,令人窒息的
压制，使窒息,stiff,adj 僵硬的。比如肌肉僵硬、硬的弹簧
压制，使窒息,smother,使窒息，掩盖
压制，使窒息,choke,n.窒息，阻塞。v.窒息，卡住，哽咽，掐住，扼住。即锁喉的动作。
,deflate,v.放气，泄气；通货紧缩
,demystify,v.使非神秘化。
定罪，宣判,condemn,v.谴责、宣判。与 praise 相对。
定罪，宣判,confess,v.供认，坦白。confession n.
定罪，宣判,convict,v.定罪，宣判..有罪。
